DateTime,ExternalT,ExternalRH,ExternalPw,RoomT,RoomRH,RoomPw,DelPw,Season,RetrofitStatus,HomeID,BuiltType,BuiltYear,Occupants,Income,RoomType,RoomDPT
2016-12-12T02:00:00Z,1.6,98,0.67,19,45,0.99,-0.33,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,6.8
2015-02-09T02:00:00Z,0.9,100,0.65,22,31,0.82,-0.23,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,4.1
2015-11-16T16:00:00Z,7.8,81,0.86,16.6,54,1.03,-0.21,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,7.4
2016-06-12T01:00:00Z,13.1,86,1.3,24.1,51,1.53,-0.24,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,13.4
2016-01-30T14:00:00Z,4.3,72,0.6,23.5,34,1,-0.43,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,6.9
2016-05-09T13:00:00Z,14.4,72,1.18,21.9,52,1.36,-0.18,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,11.6
2015-04-16T08:00:00Z,7.8,80,0.85,17.5,47,0.94,-0.17,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,6.1
2015-09-28T15:00:00Z,14.8,78,1.32,20.2,68,1.63,-0.27,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,14.3
2015-12-09T13:00:00Z,11.6,75,1.02,15.1,60,1.03,0.02,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,7.4
2015-11-27T15:00:00Z,5,89,0.78,17.2,57,1.13,-0.39,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,8.7
2015-09-05T14:00:00Z,14.6,60,1.01,23.6,44,1.3,-0.3,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,10.8
2016-07-08T01:00:00Z,14.9,86,1.46,22,59,1.56,-0.2,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,13.6
2015-02-05T11:00:00Z,5.3,83,0.74,18.5,33,0.7,0.02,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,1.9
2016-10-28T09:00:00Z,12.8,98,1.45,19.5,58,1.31,0.09,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,11
2016-08-19T16:00:00Z,17.6,74,1.5,23.1,56,1.6,-0.11,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,14
2016-07-30T12:00:00Z,16.2,62,1.14,22.5,52,1.42,-0.33,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,12.2
2015-11-20T17:00:00Z,2.1,83,0.59,14.8,51,0.85,-0.28,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,4.6
